Date,ITC Limited,Bharti Airtel,Tata Motors,DLF Limited,Yes Bank
28-03-2016,217,316,386,114,173
04-04-2016,218,302,386,121,171
11-04-2016,215,308,374,120,171
18-04-2016,223,320,408,122,172
25-04-2016,214,319,418,122,175
02-05-2016,216,327,408,129,190
09-05-2016,213,325,400,127,183
16-05-2016,212,320,394,122,191
23-05-2016,233,312,389,124,197
30-05-2016,236,318,405,129,205
06-06-2016,236,322,458,133,210
13-06-2016,232,314,451,132,212
20-06-2016,240,321,465,134,212
27-06-2016,236,319,452,133,214
04-07-2016,254,334,467,152,227
11-07-2016,248,330,472,158,226
18-07-2016,249,342,495,158,235
25-07-2016,250,328,506,158,230
01-08-2016,252,328,507,163,245
08-08-2016,253,327,518,165,254
15-08-2016,254,313,517,163,258
22-08-2016,252,316,509,167,267
29-08-2016,253,310,522,160,265
05-09-2016,263,287,550,150,278
12-09-2016,256,287,551,153,250
19-09-2016,262,291,554,147,233
26-09-2016,253,294,550,155,244
03-10-2016,244,283,539,148,255
10-10-2016,242,287,571,157,256
17-10-2016,240,275,558,151,253
24-10-2016,241,276,544,157,264
31-10-2016,243,287,537,150,254
07-11-2016,254,281,513,141,242
14-11-2016,243,272,507,116,243
21-11-2016,228,274,468,116,236
28-11-2016,228,271,451,112,227
05-12-2016,229,286,436,110,231
12-12-2016,234,297,462,116,242
19-12-2016,225,280,471,112,237
26-12-2016,225,265,466,112,224
02-01-2017,242,273,472,116,232
09-01-2017,243,289,499,127,251
16-01-2017,249,288,519,126,264
23-01-2017,255,289,523,127,272
30-01-2017,258,291,542,136,280
06-02-2017,275,319,528,145,282
13-02-2017,275,319,513,149,283
20-02-2017,266,334,452,143,288
27-02-2017,266,331,464,149,288
06-03-2017,263,324,462,145,289
13-03-2017,263,329,469,142,296
20-03-2017,283,312,477,148,304
27-03-2017,280,306,469,148,306
03-04-2017,283,312,468,149,310
10-04-2017,275,314,472,153,312
17-04-2017,277,309,452,160,324
24-04-2017,276,310,440,183,310
01-05-2017,278,320,459,186,326
08-05-2017,278,311,425,186,323
15-05-2017,276,330,434,210,299
22-05-2017,292,337,446,210,289
29-05-2017,304,338,482,188,299
05-06-2017,315,336,478,175,297
12-06-2017,307,331,464,183,296
19-06-2017,309,328,454,194,291
26-06-2017,311,330,443,192,287
03-07-2017,346,344,432,191,294
10-07-2017,332,353,447,203,302
17-07-2017,335,369,455,202,314
24-07-2017,290,367,465,196,316
31-07-2017,290,374,446,192,370
07-08-2017,282,379,439,190,362
14-08-2017,274,372,380,161,350
21-08-2017,282,382,382,184,344
28-08-2017,282,391,386,191,345
04-09-2017,283,381,393,191,354
11-09-2017,272,367,380,194,359
18-09-2017,271,360,412,194,370
25-09-2017,268,358,414,172,361
02-10-2017,258,351,402,164,350
09-10-2017,268,343,424,172,368
16-10-2017,266,390,426,173,374
23-10-2017,270,428,429,176,358
30-10-2017,269,442,428,185,312
06-11-2017,266,487,446,217,327
13-11-2017,263,453,423,200,307
20-11-2017,259,445,421,224,309
27-11-2017,260,447,423,229,312
04-12-2017,256,437,406,229,308
11-12-2017,265,478,412,239,314
18-12-2017,266,455,399,225,316
25-12-2017,263,476,422,245,310
01-01-2018,263,479,431,259,316
08-01-2018,264,481,432,261,336
15-01-2018,268,459,438,269,342
22-01-2018,275,447,419,250,350
29-01-2018,281,400,402,255,361
05-02-2018,274,377,381,218,340
12-02-2018,272,387,373,232,327
19-02-2018,266,378,374,225,314
26-02-2018,269,388,362,227,326
05-03-2018,263,385,369,221,318
12-03-2018,264,365,345,215,305
19-03-2018,261,377,341,226,316
26-03-2018,253,371,329,202,286
02-04-2018,257,360,335,204,307
09-04-2018,261,345,362,204,316
16-04-2018,260,340,351,208,307
23-04-2018,276,362,336,211,311
30-04-2018,280,367,338,226,351
07-05-2018,278,362,338,212,348
14-05-2018,283,348,333,213,351
21-05-2018,282,326,305,198,346
28-05-2018,274,340,294,204,342
04-06-2018,270,346,292,208,344
11-06-2018,268,340,311,207,339
18-06-2018,264,341,303,199,331
25-06-2018,265,335,306,200,335
02-07-2018,267,343,276,189,338
09-07-2018,275,330,275,188,356
16-07-2018,270,321,260,188,376
23-07-2018,280,311,255,170,388
30-07-2018,302,324,268,190,372
06-08-2018,305,338,260,190,374
13-08-2018,304,332,249,195,379
20-08-2018,314,336,262,213,397
27-08-2018,311,333,257,214,378
03-09-2018,323,349,271,213,348
10-09-2018,310,351,276,207,324
17-09-2018,305,343,263,207,318
24-09-2018,305,334,250,200,236
01-10-2018,301,306,225,159,180
08-10-2018,279,269,218,149,210
15-10-2018,279,261,186,157,249
22-10-2018,292,261,176,154,221
29-10-2018,282,270,170,155,185
05-11-2018,285,271,191,170,209
12-11-2018,278,271,194,176,230
19-11-2018,277,297,181,170,198
26-11-2018,281,296,184,178,189
03-12-2018,287,285,173,179,174
10-12-2018,272,269,160,170,162
17-12-2018,277,288,167,180,183
24-12-2018,279,279,176,186,184
31-12-2018,283,288,172,179,183
07-01-2019,284,292,173,178,194
14-01-2019,294,301,180,182,185
21-01-2019,293,280,184,181,199
28-01-2019,279,278,173,160,222
04-02-2019,282,279,181,166,184
11-02-2019,276,284,150,165,175
18-02-2019,279,277,163,159,201
25-02-2019,274,283,175,171,224
04-03-2019,278,277,180,167,238
11-03-2019,293,279,182,175,233
18-03-2019,292,305,181,198,247
25-03-2019,297,300,174,194,250
01-04-2019,297,301,176,203,276
08-04-2019,295,323,206,203,267
15-04-2019,308,311,217,183,268
22-04-2019,304,310,235,181,254
29-04-2019,305,319,216,174,237
06-05-2019,304,325,204,176,168
13-05-2019,295,316,186,165,165
20-05-2019,307,326,181,169,142
27-05-2019,291,343,182,191,142
03-06-2019,281,345,170,191,148
10-06-2019,278,348,171,191,142
17-06-2019,279,349,164,178,118
24-06-2019,274,339,159,178,112
01-07-2019,274,341,164,190,110
08-07-2019,280,355,159,185,87
15-07-2019,275,351,159,186,95
22-07-2019,268,333,155,178,83
29-07-2019,270,329,147,180,96
05-08-2019,264,334,128,168,88
12-08-2019,254,364,122,176,82
19-08-2019,254,357,121,178,79
26-08-2019,241,351,115,156,63
02-09-2019,246,340,117,168,60
09-09-2019,245,344,119,154,60
16-09-2019,240,337,128,163,68
23-09-2019,250,349,135,172,57
30-09-2019,255,346,121,159,48
07-10-2019,258,332,120,148,46
14-10-2019,245,377,123,150,40
21-10-2019,246,376,137,169,51
28-10-2019,248,368,127,181,52
04-11-2019,263,371,172,185,60
11-11-2019,261,364,169,200,70
18-11-2019,251,389,172,212,69
25-11-2019,248,414,161,220,65
02-12-2019,246,462,161,220,69
09-12-2019,243,439,162,218,56
16-12-2019,243,422,177,228,47
